AN_BASE,NM_GRANDE_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,NM_AREA_BASICA,NM_SUBAREA_CONHECIMENTO,NM_ESPECIALIDADE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,IN_REDE,SG_ENTIDADE_ENSINO_REDE,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,DS_ORGANIZACAO_ACADEMICA,NM_REGIAO,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,NM_MODALIDADE_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,NM_PROGRAMA_IDIOMA,CD_CONCEITO_PROGRAMA,AN_INICIO_PROGRAMA,AN_INICIO_CURSO,DS_SITUACAO_PROGRAMA,DT_SITUACAO_PROGRAMA,ID_ADD_FOTO_PROGRAMA_IES,ID_ADD_FOTO_PROGRAMA,PAIS
2019,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,NÃO SE APLICA,27,ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUL,PR,CURITIBA,ACADÊMICO,40001016050P0,CONTABILIDADE,ACCOUNTING,5,2005,2005/2014,EM FUNCIONAMENTO,03Feb2014 0:00:00,154808,89185,BRASIL
2019,LINGÜÍSTICA, LETRAS E ARTES,LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,UFG,UNIVERSIDADE FEDERAL DE GOIÁS,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,CENTRO-OESTE,GO,GOIÂNIA,ACADÊMICO,52001016004P2,LETRAS E LINGUÍSTICA,LETTERS AND LINGUISTICS,5,1972,1972/2002,EM FUNCIONAMENTO,11Mar2013 0:00:00,154809,89186,BRASIL
2019,ENGENHARIAS,ENGENHARIA SANITÁRIA,ENGENHARIA SANITÁRIA,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,USP/SC,UNIVERSIDADE DE SÃO PAULO (SÃO CARLOS),NÃO,NA,ESTADUAL,PÚBLICO,NÃO INFORMADO,SUDESTE,SP,SÃO CARLOS,ACADÊMICO,33002045008P7,ENGENHARIA HIDRÁULICA E SANEAMENTO,THE GRADUATE PROGRAM IN HYDRAULIC AND SANITARY ENGINEERING,7,1970,1970/1976,EM FUNCIONAMENTO,02Sep2013 0:00:00,157573,92850,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,ADMINISTRAÇÃO,NÃO SE APLICA,NÃO SE APLICA,27,ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO,CEFET-MG,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,NÃO,NA,FEDERAL,PÚBLICO,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA,SUDESTE,MG,BELO HORIZONTE,ACADÊMICO,32020015008P9,ADMINISTRAÇÃO,POSTGRADUATE PROGRAM IN ADMINISTRATION,3,2015,2015,EM FUNCIONAMENTO,30Mar2015 0:00:00,157598,92854,BRASIL
2019,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,NÃO SE APLICA,NÃO SE APLICA,49,CIÊNCIAS AMBIENTAIS,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,RJ,RIO DE JANEIRO,ACADÊMICO,31001017145P6,CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO,ENVIRONMENTAL AND CONSERVATION SCIENCE,4,2011,2011/2014,EM FUNCIONAMENTO,17Feb2014 0:00:00,158783,93769,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO CONSTITUCIONAL,DIREITO PÚBLICO,DIREITO CONSTITUCIONAL,26,DIREITO,IDP,INSTITUTO BRASILIENSE DE DIREITO PÚBLICO,NÃO,NA,PARTICULAR,PRIVADO,NÃO INFORMADO,CENTRO-OESTE,DF,BRASÍLIA,ACADÊMICO,53019016001P9,DIREITO CONSTITUCIONAL,CONSTITUCIONAL LAW,4,2007,2007/2019,EM FUNCIONAMENTO,31Jan2013 0:00:00,159077,94003,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,IFPA,INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ,NÃO,NA,FEDERAL,PÚBLICO,INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA,NORTE,PA,CASTANHAL,PROFISSIONAL,15008010001P3,DESENVOLVIMENTO RURAL E GESTÃO DE EMPREEND. AGROALIMENTARES,RURAL DEVELOPMENT AND MANAGEMENT AGRIFOOD,4,2013,2013,EM FUNCIONAMENTO,19Feb2013 0:00:00,159322,94228,BRASIL
2019,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,NÃO SE APLICA,NÃO SE APLICA,18,ODONTOLOGIA,UNIEVANGELICA,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,NÃO,NA,PARTICULAR,PRIVADO,CENTRO UNIVERSITÁRIO,CENTRO-OESTE,GO,ANÁPOLIS,ACADÊMICO,52006018002P1,ODONTOLOGIA,GRADUATE PROGRAM IN OTONTOLOGY,A,2019,2019,EM FUNCIONAMENTO,13May2019 0:00:00,157398,92656,BRASIL
2019,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE PÚBLICA,SAÚDE PÚBLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,NÃO,NA,FEDERAL,PÚBLICO,UNIVERSIDADE,SUDESTE,MG,DIAMANTINA,PROFISSIONAL,32010010008P0,ENSINO EM SAÚDE,HEALTH EDUCATION,3,2011,2011,EM FUNCIONAMENTO,30Oct2012 0:00:00,150916,86142,BRASIL
2019,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,NÃO SE APLICA,NÃO SE APLICA,45,INTERDISCIPLINAR,UNIS-MG,CENTRO UNIVERSITÁRIO DO SUL DE MINAS,NÃO,NA,PARTICULAR,PRIVADO,CENTRO UNIVERSITÁRIO,SUDESTE,MG,VARGINHA,ACADÊMICO,32115016001P1,GESTÃO E DESENVOLVIMENTO REGIONAL,MANAGEMENT AND REGIONAL DEVELOPMENT,A,2019,2019,EM FUNCIONAMENTO,27Mar2019 0:00:00,156542,91925,BRASIL
2019,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,USP/RP,UNIVERSIDADE DE SÃO PAULO ( RIBEIRÃO PRETO ),NÃO,NA,ESTADUAL,PÚBLICO,NÃO INFORMADO,SUDESTE,SP,RIBEIRÃO PRETO,ACADÊMICO,33002029051P9,DIREITO,LAW GRADUATE PROGRAMME,3,2014,2014,EM FUNCIONAMENTO,20Mar2014 0:00:00,156544,91927,BRASIL
